Time,Open,High,Low,Close,Volume
05.11.2012 09:20:00,1.27997,1.28013,1.27993,1.27997,125.3
05.11.2012 09:21:00,1.27998,1.28008,1.27989,1.28002,135.37
05.11.2012 09:22:00,1.28004,1.28011,1.27994,1.28001,127.59
05.11.2012 09:23:00,1.28001,1.28004,1.27994,1.28004,117.3
05.11.2012 09:24:00,1.28005,1.28022,1.27992,1.27994,245.5
05.11.2012 09:25:00,1.27996,1.28005,1.27993,1.28005,113.05
05.11.2012 09:26:00,1.28005,1.28011,1.28004,1.28008,119.05
05.11.2012 09:27:00,1.28007,1.28012,1.27997,1.27999,199.32
05.11.2012 09:28:00,1.27997,1.28037,1.2798,1.28035,294.69
05.11.2012 09:29:00,1.28033,1.28033,1.28012,1.28026,192.7
05.11.2012 09:30:00,1.28028,1.28047,1.28028,1.28044,203.36
05.11.2012 09:31:00,1.28042,1.28067,1.28032,1.28059,255.18
05.11.2012 09:32:00,1.28061,1.28062,1.2803,1.28037,180.01
05.11.2012 09:33:00,1.28036,1.28046,1.28017,1.28034,303.02
05.11.2012 09:34:00,1.28039,1.28057,1.28033,1.28051,166.98
05.11.2012 09:35:00,1.28051,1.28051,1.28024,1.28024,154.26
05.11.2012 09:36:00,1.28024,1.28045,1.28011,1.28034,294.23
05.11.2012 09:37:00,1.28034,1.28036,1.28014,1.28023,102.44
05.11.2012 09:38:00,1.28023,1.28024,1.28013,1.2802,199.03
05.11.2012 09:39:00,1.28019,1.28024,1.28012,1.28012,146.2
05.11.2012 09:40:00,1.28013,1.28013,1.28001,1.28005,69.14
05.11.2012 09:41:00,1.28005,1.28013,1.28005,1.2801,137.91
05.11.2012 09:42:00,1.28007,1.28007,1.27986,1.27986,148.91
05.11.2012 09:43:00,1.27985,1.27989,1.27965,1.27965,196.17
05.11.2012 09:44:00,1.27965,1.27965,1.27949,1.27964,219.08
05.11.2012 09:45:00,1.27964,1.27994,1.27959,1.27973,183.98
05.11.2012 09:46:00,1.27974,1.27974,1.27956,1.27966,95.64
05.11.2012 09:47:00,1.2797,1.27982,1.2797,1.27977,168.64
05.11.2012 09:48:00,1.27976,1.27996,1.27972,1.27972,134.23
05.11.2012 09:49:00,1.27972,1.27973,1.2796,1.2797,189.01
05.11.2012 09:50:00,1.2797,1.27972,1.27969,1.27972,38.14
05.11.2012 09:51:00,1.27972,1.27973,1.27954,1.27962,183.48
05.11.2012 09:52:00,1.27963,1.27967,1.27956,1.27963,96.97
05.11.2012 09:53:00,1.27962,1.27986,1.27959,1.27962,141.36
05.11.2012 09:54:00,1.27964,1.27978,1.27964,1.27967,180.21
05.11.2012 09:55:00,1.2797,1.27974,1.27963,1.27971,134.88
05.11.2012 09:56:00,1.27971,1.27973,1.27966,1.2797,103.69
05.11.2012 09:57:00,1.27969,1.2797,1.27951,1.27955,302.8
05.11.2012 09:58:00,1.27957,1.27978,1.27955,1.27958,250.07
05.11.2012 09:59:00,1.27959,1.27967,1.27947,1.27952,154.92
05.11.2012 10:00:00,1.27954,1.27954,1.2794,1.27944,129.35
05.11.2012 10:01:00,1.27941,1.27957,1.27931,1.27957,197.33
05.11.2012 10:02:00,1.27955,1.27955,1.27933,1.27933,119.75
